musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",NA,3,2.8,NA,23,23,None,None,9,5.16,8.93,14.68,16.66,Somewhat poorly drained,Somewhat poorly drained,D,NA,100,2,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.966,Moderate,9,1,169674
Pt,"Pewamo silty clay loam, 0 to 1 percent slopes",NA,0.5,0.5,NA,15,15,None,None,91,5.25,9.16,16.25,21.17,Very poorly drained,Very poorly drained,C/D,NA,100,2,94,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,91,1,817831
