hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
BC,NA,BC,NA,NA,71,83,99,79,99,137,8,16,45,0,1,1,0,1,7,95,98,100,85,93,98,70,88,98,55,75,85,14,25,28,0,2,3,0,3,5,2,5,8,3,8,12,3,7,10,30,40,50,5,12,21,20,28,35,27,35,42,0,1,3,0,0.5,1,NA,NA,NA,1.7,1.8,1.9,NA,NA,NA,1.97,2.01,2.07,NA,0.42,0.92,1.41,0.06,0.12,0.15,NA,NA,NA,21.9,27.6,28.6,17.4,25.5,25.8,23,29,34,3,4.5,6,30,40,50,10,20,30,3,14,26,0.32,0.32,0,12,25,0,0,0,0,0,0,0,0,2,12,18,27,NA,NA,NA,9,18,24,6.1,7.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682959,60807167
Ap,NA,A,NA,NA,0,0,0,20,25,28,20,25,28,0,0,2,0,2,9,95,98,100,90,95,100,80,90,98,65,75,85,18,22,28,0,2,3,0,3,4,2,4,8,3,7,12,3,6,10,50,56,64,8,18,24,30,38,45,18,22,27,0,0,0,2,2.5,3,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,1.37,1.52,1.67,NA,4.23,9.17,14.11,0.18,0.21,0.24,NA,NA,NA,25.8,29.3,32.7,11.9,15.4,19.5,34,41,48,0,1.5,3,25,32,40,7,10,15,2,6,13,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,12,18,21,NA,NA,NA,6,12,21,5.1,6.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,6.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682959,60807168
Bt,NA,B,NA,NA,20,25,28,71,83,99,45,58,79,0,0,2,0,2,8,95,98,100,90,98,100,80,93,100,70,80,90,10,16,25,0,1,2,0,1,3,1,2,6,3,7,10,3,5,10,35,42,50,5,12,21,25,30,40,35,42,48,0,0,0,0.5,1,1.5,NA,NA,NA,1.4,1.55,1.7,NA,NA,NA,1.62,1.77,1.85,NA,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,26.7,31.5,34.1,18.1,24.1,28.5,31,39,45,3,4.5,6,35,45,55,15,25,35,8,19,33,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,18,24,30,NA,NA,NA,6,15,27,4.5,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,6.1,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682959,60807169
BC,NA,BC,NA,NA,61,74,91,76,91,107,10,17,28,0,0,1,0,2,5,95,98,100,75,90,100,65,85,100,55,70,90,18,24,30,0,1,3,0,2,5,2,5,8,3,9,12,3,7,10,30,40,50,5,12,21,20,28,35,27,36,45,0,1,3,0.25,0.5,0.75,NA,NA,NA,1.7,1.8,1.9,NA,NA,NA,1.98,2.02,2.08,2.65,0.42,0.92,1.41,0.06,0.09,0.12,NA,NA,NA,20,27,28.9,16.4,26,26,21,28,33,3,4.5,6,30,40,50,10,20,30,3,12,28,0.32,0.32,0,12,25,0,0,0,0,0,0,0,0,2,12,18,27,NA,NA,NA,9,18,24,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682946,60807117
Cd,NA,C,NA,NA,76,91,107,200,200,200,93,109,124,0,0,1,0,2,5,95,98,100,80,93,100,70,88,100,55,70,85,18,25,32,0,1,3,0,2,5,2,5,8,3,10,12,3,7,10,30,39,50,5,12,21,20,27,35,27,36,40,0,3,6,0,0.25,0.5,NA,NA,NA,1.8,1.9,2,NA,NA,NA,2.08,2.09,2.1,2.65,0.07,0.74,1.41,0.03,0.06,0.09,NA,NA,NA,18,24,26.2,17.9,21,23.5,19,25,30,3,4.5,6,25,35,45,7,15,25,1,8,21,0.32,0.32,15,26,35,0,0,0,0,0,0,0,0,2,12,18,27,NA,NA,NA,12,18,24,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682946,60807118
Ap,NA,A,NA,NA,0,0,0,18,23,28,18,23,28,0,0,1,0,0,5,95,98,100,80,93,100,75,88,100,60,75,85,18,22,30,0,1.5,3,0,2.5,3,2,5,8,3,7,12,3,6,10,45,54,60,8,16,24,30,38,45,18,24,27,0,0,0,1,1.5,2,NA,NA,NA,1.25,1.38,1.5,NA,NA,NA,1.45,1.58,1.65,2.65,1.41,2.82,4.23,0.18,0.21,0.24,NA,NA,NA,23.4,29,32.1,9.8,15,18.6,35,43,49,3,4.5,6,25,32,40,7,12,20,1,7,17,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,12,18,24,8,11,15,6,12,18,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,4.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682946,60807119
Bt,NA,B,NA,NA,18,23,28,61,74,91,33,51,73,0,0,1,0,1,5,95,98,100,85,93,100,75,90,100,65,75,90,16,22,30,0,1,2,0,2,3,1,4,6,3,8,10,3,7,10,26,36,46,5,11,18,20,25,35,35,42,50,0,0,0,0.5,0.75,1,NA,NA,NA,1.45,1.58,1.7,NA,NA,NA,1.69,1.82,1.89,2.65,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,27.8,32,34.3,17.1,23,28.5,28,36,42,3,4.5,6,35,45,55,15,22.5,30,7,16,30,0.28,0.28,0,0,10,0,0,0,0,0,0,0,0,2,15,24,33,11,16,22,6,18,30,4.5,6.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.9,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682946,60807120
Cd,NA,C,NA,NA,76,94,137,200,200,200,63,106,124,0,1,1,0,2,5,90,98,100,80,93,98,75,88,98,55,75,85,15,22,32,0,2,3,0,3,5,2,4,8,3,7,12,3,6,10,35,45,50,5,14,21,20,31,35,27,33,40,0,3,6,0,0.25,0.5,NA,NA,NA,1.8,1.9,2,NA,NA,NA,1.95,2.05,2.1,2.65,0.07,0.74,1.41,0,0.03,0.06,NA,NA,NA,17.1,22,26.7,15.4,20,24,18,24,30,3,4.5,6,25,35,45,7,15,25,1,10,21,0.37,0.37,15,24,35,0,0,0,0,0,0,0,0,2,12,18,24,NA,NA,NA,12,18,21,7.4,8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682945,60807113
Bt,NA,B,NA,NA,18,23,28,66,81,99,43,58,79,0,0,1,0,1,5,95,98,100,90,98,100,80,93,100,70,80,90,10,16,25,0,1,2,0,1,3,1,2,6,3,7,10,3,5,10,35,42,50,5,12,21,25,30,40,35,42,48,0,0,0,0.25,0.5,1,NA,NA,NA,1.4,1.55,1.7,NA,NA,NA,1.65,1.8,1.9,2.65,0.42,0.92,1.41,0.12,0.15,0.18,NA,NA,NA,26.3,30,33.7,17.5,22,27.8,30,37,44,3,4.5,6,35,45,55,15,25,35,8,19,33,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,18,24,30,12,16,22,6,15,27,4.5,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682945,60807114
Ap,NA,A,NA,NA,0,0,0,18,23,28,18,23,28,0,0,1,0,1,5,95,98,100,85,95,100,80,90,98,65,75,85,18,22,28,0,2,3,0,3,4,2,4,8,3,7,12,3,6,10,48,54,64,8,18,24,30,36,45,18,24,27,0,0,0,1.5,2,2.5,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,1.35,1.5,1.7,2.65,4.23,9.17,14.11,0.18,0.21,0.24,NA,NA,NA,24.9,30,32.7,11.5,17,19.5,31,39,47,0,1.5,3,25,32,40,7,10,15,2,6,13,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,2,12,18,21,9,12,15,6,12,21,5.1,6.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,6.4,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682945,60807115
BC,NA,BC,NA,NA,66,81,99,76,94,137,8,13,38,0,1,1,0,1,5,95,98,100,85,93,98,70,88,98,55,75,85,14,25,28,0,2,3,0,3,5,2,5,8,3,8,12,3,7,10,30,40,50,5,12,21,20,28,35,27,35,42,0,1,3,0,0.25,0.5,NA,NA,NA,1.7,1.8,1.9,NA,NA,NA,1.9,2,2.05,2.65,0.42,0.92,1.41,0.03,0.06,0.12,NA,NA,NA,21.8,25,29,17.4,23,26.1,23,28,34,3,4.5,6,30,40,50,10,20,30,3,14,26,0.37,0.37,0,12,25,0,0,0,0,0,0,0,0,2,12,18,27,NA,NA,NA,9,18,24,6.1,7.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682945,60807116
Ap,NA,A,NA,NA,0,0,0,25,28,38,25,28,38,0,0,1,0,1,5,95,98,100,80,95,100,70,93,100,60,83,95,10,15,20,0,1,3,0,1,3,2,3,8,3,5,12,3,5,10,40,50,55,8,15,24,30,35,45,27,35,40,0,0,0,3,5,6,NA,NA,NA,1.35,1.45,1.55,NA,NA,NA,1.56,1.66,1.73,2.65,4.23,9.17,14.11,0.21,0.22,0.24,NA,NA,NA,27.5,35,38.2,16.4,25,30.5,30,38,43,3,4.5,6,35,40,50,15,20,25,6,16,27,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,12,18,24,NA,NA,NA,6,15,21,5.6,6.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,5.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682944,60807109
Btg1,NA,B,NA,1,25,28,38,76,86,97,41,58,74,0,0,1,0,1,5,95,98,100,80,95,100,70,93,100,65,82,95,10,16,25,0,1,2,0,2,3,1,3,6,3,6,10,3,4,10,35,42,50,5,12,21,25,30,40,35,42,50,0,0,0,0.5,1.25,2,NA,NA,NA,1.45,1.55,1.65,NA,NA,NA,1.73,1.83,2.02,2.65,1.41,2.82,4.23,0.12,0.15,0.18,NA,NA,NA,24.9,31,34.9,16.9,24,30.2,29,37,42,3,5.5,9,40,45,55,20,25,35,11,20,36,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,15,21,30,NA,NA,NA,6,15,27,5.6,6.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,5,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682944,60807110
Cg,NA,C,NA,NA,132,145,165,200,200,200,35,55,68,0,1,2,0,1,5,95,98,100,80,93,100,70,88,100,60,74,85,15,23,30,0,2,3,0,2,5,2,5,8,3,8,12,3,6,10,32,44,55,7,13,21,25,31,40,27,33,40,0,3,6,0,0.5,1,NA,NA,NA,1.6,1.65,1.75,NA,NA,NA,1.85,1.9,1.98,2.65,1.41,2.82,4.23,0.06,0.09,0.12,NA,NA,NA,25.5,32,35.2,15.5,22,27.7,26,33,37,3,4.5,6,30,38,45,10,15,25,3,10,21,0.32,0.32,15,23,30,0,0,0,0,0,0,0,0,2,9,15,21,NA,NA,NA,9,15,18,7.4,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682944,60807111
Btg2,NA,B,NA,2,76,86,97,132,145,165,25,59,81,0,0,1,0,1,5,95,98,100,80,95,100,70,93,100,60,79,90,15,20,30,0,1,2,0,2,3,1,4,6,3,8,10,3,5,10,30,38,50,5,12,21,20,26,35,35,42,50,0,0,0,0.5,1.25,2,NA,NA,NA,1.45,1.55,1.65,NA,NA,NA,1.73,1.83,2.02,2.65,1.41,2.82,4.23,0.09,0.12,0.15,NA,NA,NA,24.7,32,35.7,16.8,24,30.2,29,37,42,3,5.5,9,40,45,55,20,25,35,9,19,33,0.24,0.24,0,0,5,0,0,0,0,0,0,0,0,2,15,21,30,NA,NA,NA,9,18,27,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,3.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20682944,60807112
