musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",Consociation,NA,52525,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11522,169674
Pt,"Pewamo silty clay loam, 0 to 1 percent slopes",Consociation,NA,54020,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11522,817831
